englisch,deutsch
achieve,erreichen
acquire,erwerben
adjust,anpassen
advance,voranbringen/aufsteigen
advocate,befürworten
allocate,zuweisen
analyze,analysieren
anticipate,vorhersehen
approach,Ansatz/herangehen
assess,bewerten
assume,annehmen
benefit,Vorteil/Nutzen
challenge,Herausforderung
clarify,klären
cooperate,kooperieren
compile,zusammentragen/kompilieren
comply,befolgen
component,Bestandteil/Komponente
comprise,umfassen
conduct,durchführen/leiten
confirm,bestätigen
consequence,Folge/Konsequenz
consider,in Betracht ziehen
consistent,konsistent/stimmig
constraint,Einschränkung
construct,bauen/konstruieren
consume,verbrauchen
contrast,Gegensatz/kontrastieren
contribute,beitragen
conventional,konventionell
credible,glaubwürdig
criteria,Kriterien
decline,Rückgang/abnehmen
derive,ableiten
determine,bestimmen/ermitteln
distribute,verteilen
enable,ermöglichen
encounter,begegnen/auf etwas stoßen
enhance,verbessern/erhöhen
ensure,sicherstellen
establish,etablieren/gründen
estimate,schätzen
evaluate,auswerten/bewerten
evidence,Belege/Beweis
exceed,übersteigen
expand,erweitern/ausweiten
expose,aufdecken/aussetzen
feature,Merkmal/Eigenschaft
framework,Rahmenwerk/Struktur
implement,umsetzen/implementieren
imply,andeuten
incorporate,einbinden/aufnehmen
indicate,hindeuten/anzeigen
inevitable,unvermeidlich
influence,beeinflussen/Einfluss
inhibit,hemmen
innovative,innovativ
integrate,integrieren
interpret,interpretieren
investigate,untersuchen
maintain,aufrechterhalten/warten
monitor,überwachen/beobachten
nevertheless,dennoch/trotzdem
occur,auftreten/geschehen
perspective,Perspektive/Blickwinkel
previous,vorherig/früher
principle,Prinzip/Grundsatz
priority,Priorität/Vorrang
proportion,Anteil/Verhältnis
range,Bereich/Spanne
relevant,relevant/bedeutsam
reliant of,abhängig von
rely on,sich verlassen auf
research,Forschung
resolve,klären/lösen
restrict,beschränken
retain,behalten/bewahren
reveal,aufdecken/offenlegen
significant,bedeutsam/erheblich
source,Quelle
sufficient,ausreichend
sustain,aufrechterhalten/tragen
trend,Trend/Entwicklung
vary,variieren
